"Table 84. Staff, enrollment, and pupil/staff ratios in public elementary and secondary school systems, by state or jurisdiction: Fall 2000 through fall 2007       ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
State or jurisdiction ,Pupil/staff ratio,,,,,,,,,,Fall 2005,,,,,,Fall 2006\1\,,,,,,Fall 2007      ,,,,
State or jurisdiction ,Fall 2000,,Fall 2001,,Fall 2002,,Fall 2003,,Fall 2004,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,Pupil/ staff ratio,
State or jurisdiction ,Fall 2000,,Fall 2001,,Fall 2002,,Fall 2003,,Fall 2004,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,Pupil/ staff ratio,
State or jurisdiction ,Fall 2000,,Fall 2001,,Fall 2002,,Fall 2003,,Fall 2004,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,Pupil/ staff ratio,
West Virginia ...................,7.428649251601858, ,7.508560053085601, ,7.407295709640197, ,7.408778354453724, ,7.375891940282788, ,38152, ,280866, ,7.361763472426085, ,36717,\3\,281939, ,7.678704687202114,\3\,38309,\3\,282535,7.375159884100342,\3\
Wisconsin ......................,8.22424418115339, ,7.586126280010697, ,7.780464763115608, ,8.418851823860864, ,8.313532273260398, ,105564, ,875174, ,8.290458868553674, ,105033,\3\,876700, ,8.346900497938742,\3\,104981,\3\,874633,8.331345672073994,\3\
Wyoming .........................,6.446387614678899, ,6.440222157263958, ,6.3663030127880935,\3\,6.193753983428936, ,5.943672839506172, ,14526, ,84409, ,5.810890816467024, ,15121,\3\,85193, ,5.634085047285232,\3\,15464,\3\,86422,5.588592860838076,\3\
Wyoming .........................,6.446387614678899, ,6.440222157263958, ,6.3663030127880935,\3\,6.193753983428936, ,5.943672839506172, ,14526, ,84409, ,5.810890816467024, ,15121,\3\,85193, ,5.634085047285232,\3\,15464,\3\,86422,5.588592860838076,\3\
Bureau of Indian,6.446387614678899, ,6.440222157263958, ,6.3663030127880935,\3\,6.193753983428936, ,5.943672839506172, ,14526, ,84409, ,5.810890816467024, ,15121,\3\,85193, ,5.634085047285232,\3\,15464,\3\,86422,5.588592860838076,\3\
   Education ..........................,---, ,---, ,---,\3\,---, ,---, ,---, ,50938, ,---, ,---,\3\,---, ,---,\3\,---,\3\,---,---,\3\
"DoD, overseas .......",9.511504653567735, ,9.280263658258335, ,10.346202980837473,\3\,9.757346882724526, ,9.982030679327977, ,9099, ,62543, ,6.873612484888449, ,8338,\3\,60891, ,7.302830414967618,\3\,6265,\3\,57247,9.137589784517159,\3\
"DoD, domestic .......",8.42969906265417, ,7.601712566535524, ,7.646428571428571,\3\,7.361799374548953, ,10.174869109947643, ,3671, ,28329, ,7.7169708526287115, ,3574,\3\,26631, ,7.451315053161723,\3\,3994,\3\,27548,6.897346019028543,\3\
Other jurisdictions, , , , , ,\3\, , , , , , , , , , , ,\3\, , , ,\3\, ,\3\, , ,\3\
  American Samoa .................,9.580231848688225, ,9.4288256227758, ,9.212680115273775,\3\,8.974025974025974, ,8.89464975179261, ,1446, ,16438, ,11.367911479944675, ,1869,\3\,16400, ,8.774745853397539,\3\,---,\3\,---,---,\3\
  Guam ......................,8.465328467153284, ,8.497211155378485, ,---,\3\,9.109059434506635, ,9.223930078360459, ,3455, ,30986, ,8.968451519536902, ,---,\3\,---, ,---,\3\,---,\3\,---,---,\3\
  Northern Marianas ....................,9.554918815663802, ,10.28361138370952, ,10.293687099725526,\3\,9.735064935064935, ,9.949399656946827, ,1234, ,11718, ,9.495948136142626, ,1160,\3\,11695, ,10.081896551724139,\3\,1111,\3\,11299,10.170117011701171,\3\
  Puerto Rico ....................,8.855943227149217, ,8.02850346825418, ,8.001046235563962,\3\,7.830515281738222, ,7.489078254081832, ,75023, ,563490, ,7.510896658358104, ,71962,\3\,544138, ,7.561462994358133,\3\,71847,\3\,526565,7.32897685359166,\3\
  U.S. Virgin Islands ................,6.712314591238358, ,6.666666666666667, ,6.038537549407114,\3\,6.117403314917127, ,5.518642929123279, ,2664, ,16750, ,6.2875375375375375, ,3020,\3\,16284, ,5.39205298013245,\3\,3137,\3\,15903,5.0694931463181385,\3\
---Not available.  ,6.712314591238358, ,6.666666666666667, ,6.038537549407114,\3\,6.117403314917127, ,5.518642929123279, ,2664, ,16750, ,6.2875375375375375, ,3020,\3\,16284, ,5.39205298013245,\3\,3137,\3\,15903,5.0694931463181385,\3\
\1\Data revised from previously published figures.  ,6.712314591238358, ,6.666666666666667, ,6.038537549407114,\3\,6.117403314917127, ,5.518642929123279, ,2664, ,16750, ,6.2875375375375375, ,3020,\3\,16284, ,5.39205298013245,\3\,3137,\3\,15903,5.0694931463181385,\3\
\2\U.S. totals include imputations for underreporting and nonreporting states.  ,6.712314591238358, ,6.666666666666667, ,6.038537549407114,\3\,6.117403314917127, ,5.518642929123279, ,2664, ,16750, ,6.2875375375375375, ,3020,\3\,16284, ,5.39205298013245,\3\,3137,\3\,15903,5.0694931463181385,\3\
\3\Includes imputations for underreporting.  ,6.712314591238358, ,6.666666666666667, ,6.038537549407114,\3\,6.117403314917127, ,5.518642929123279, ,2664, ,16750, ,6.2875375375375375, ,3020,\3\,16284, ,5.39205298013245,\3\,3137,\3\,15903,5.0694931463181385,\3\
NOTE: DoD = Department of Defense.  ,6.712314591238358, ,6.666666666666667, ,6.038537549407114,\3\,6.117403314917127, ,5.518642929123279, ,2664, ,16750, ,6.2875375375375375, ,3020,\3\,16284, ,5.39205298013245,\3\,3137,\3\,15903,5.0694931463181385,\3\
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""State Nonfiscal Survey of Public Elementary/Secondary Education,"" 2000-01 through 2007-08. (This table was prepared September 2009.)    ",6.712314591238358, ,6.666666666666667, ,6.038537549407114,\3\,6.117403314917127, ,5.518642929123279, ,2664, ,16750, ,6.2875375375375375, ,3020,\3\,16284, ,5.39205298013245,\3\,3137,\3\,15903,5.0694931463181385,\3\
