"Table 106. Public high school graduates and dropouts, by race/ethnicity and state or jurisdiction: 2006-07",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"State or 
other jurisdiction","High school graduates, by race/ethnicity, 2006-07\1\",,,,,,,"Event dropout rates (percent of 9th- to 12th-graders who dropped out) during 2006-07, by race/ethnicity    ",,,,,
"State or 
other jurisdiction",Total,,White,Black,Hispanic,"Asian/
Pacific
Islander","American
Indian/
Alaska
Native",Total,White,Black,Hispanic,"Asian/
Pacific
Islander","American
Indian/
Alaska
Native"
Other jurisdictions,---,3.0,---,---,---,---,---,---,---,---,---,---,---
  American Samoa ........,954,3.0,0,0,0,954,0,---,---,---,---,---,---
  Guam .................,---,3.0,---,---,---,---,---,---,---,---,---,---,---
  Northern Marianas ........,643,3.0,2,0,0,641,0,3.1,---,---,---,---,---
  Puerto Rico ...............,31718,3.0,0,0,31718,0,0,---,---,---,---,---,---
  U.S. Virgin Islands ............,820,3.0,7,720,88,1,4,5.4,10.299995422363281,5.6999969482421875,2.5999984741210938,0,0
---Not available.,820,3.0,7,720,88,1,4,5.4,10.299995422363281,5.6999969482421875,2.5999984741210938,0,0
\1\Data differ slightly from figures reported in other tables due to varying reporting practices for racial/ethnic survey data.,820,3.0,7,720,88,1,4,5.4,10.299995422363281,5.6999969482421875,2.5999984741210938,0,0
"\2\High school graduate counts include estimates for nonreporting states, based on 2006 12th-grade enrollment racial/ethnic distribution reported by state. Event dropout rate totals are totals for reporting states only.",820,3.0,7,720,88,1,4,5.4,10.299995422363281,5.6999969482421875,2.5999984741210938,0,0
NOTE: Includes only graduates for whom race/ethnicity was reported. Race categories exclude persons of Hispanic ethnicity. Event dropout rates measure the percentage of public school students in grades 9 through 12 who dropped out of school between one October and the next. DoD = Department of Defense.,820,3.0,7,720,88,1,4,5.4,10.299995422363281,5.6999969482421875,2.5999984741210938,0,0
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""State Nonfiscal Survey of Public Elementary/Secondary Education,"" 2006-07 and 2007-08, and ""NCES Common Core of Data State Dropout and Completion Data File,"" 2006-07; and unpublished tabulations. (This table was prepared November 2009.)",820,3.0,7,720,88,1,4,5.4,10.299995422363281,5.6999969482421875,2.5999984741210938,0,0
